Indicator,Data Source,PUBLISH STATES,Year,iden,WHO region,Country,Beverage Types,Display Value,Numeric,High,Comments
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2004,PRK,South-East Asia,Democratic People's Republic of Korea,Spirits,2.93,2.93,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2004,PRK,South-East Asia,Democratic People's Republic of Korea,Wine,0,0,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2005,PRK,South-East Asia,Democratic People's Republic of Korea,All types,3.21,3.21,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2005,PRK,South-East Asia,Democratic People's Republic of Korea,Beer,0.2,0.2,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2005,PRK,South-East Asia,Democratic People's Republic of Korea,Other alcoholic beverages,0,0,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2005,PRK,South-East Asia,Democratic People's Republic of Korea,Spirits,3.02,3.02,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2005,PRK,South-East Asia,Democratic People's Republic of Korea,Wine,0,0,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2006,PRK,South-East Asia,Democratic People's Republic of Korea,All types,3.28,3.28,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2006,PRK,South-East Asia,Democratic People's Republic of Korea,Beer,0.19,0.19,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2006,PRK,South-East Asia,Democratic People's Republic of Korea,Other alcoholic beverages,0,0,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2006,PRK,South-East Asia,Democratic People's Republic of Korea,Spirits,3.09,3.09,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2006,PRK,South-East Asia,Democratic People's Republic of Korea,Wine,0,0,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2007,PRK,South-East Asia,Democratic People's Republic of Korea,All types,3.13,3.13,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2007,PRK,South-East Asia,Democratic People's Republic of Korea,Beer,0.18,0.18,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2007,PRK,South-East Asia,Democratic People's Republic of Korea,Other alcoholic beverages,0,0,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2007,PRK,South-East Asia,Democratic People's Republic of Korea,Spirits,2.94,2.94,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2007,PRK,South-East Asia,Democratic People's Republic of Korea,Wine,0,0,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2008,PRK,South-East Asia,Democratic People's Republic of Korea,All types,3.16,3.16,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2008,PRK,South-East Asia,Democratic People's Republic of Korea,Beer,0.14,0.14,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2008,PRK,South-East Asia,Democratic People's Republic of Korea,Other alcoholic beverages,0,0,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2008,PRK,South-East Asia,Democratic People's Republic of Korea,Spirits,3.02,3.02,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2008,PRK,South-East Asia,Democratic People's Republic of Korea,Wine,0,0,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2009,PRK,South-East Asia,Democratic People's Republic of Korea,All types,3.35,3.35,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2009,PRK,South-East Asia,Democratic People's Republic of Korea,Beer,0.15,0.15,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2009,PRK,South-East Asia,Democratic People's Republic of Korea,Other alcoholic beverages,0,0,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2009,PRK,South-East Asia,Democratic People's Republic of Korea,Spirits,3.2,3.2,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2009,PRK,South-East Asia,Democratic People's Republic of Korea,Wine,0,0,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2010,PRK,South-East Asia,Democratic People's Republic of Korea,All types,3.12,3.12,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2010,PRK,South-East Asia,Democratic People's Republic of Korea,Beer,0.16,0.16,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2010,PRK,South-East Asia,Democratic People's Republic of Korea,Other alcoholic beverages,0,0,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2010,PRK,South-East Asia,Democratic People's Republic of Korea,Spirits,2.96,2.96,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2010,PRK,South-East Asia,Democratic People's Republic of Korea,Wine,0,0,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2011,PRK,South-East Asia,Democratic People's Republic of Korea,All types,3.39,3.39,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2011,PRK,South-East Asia,Democratic People's Republic of Korea,Beer,0.15,0.15,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2011,PRK,South-East Asia,Democratic People's Republic of Korea,Other alcoholic beverages,0,0,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2011,PRK,South-East Asia,Democratic People's Republic of Korea,Spirits,3.24,3.24,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2011,PRK,South-East Asia,Democratic People's Republic of Korea,Wine,0,0,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2012,PRK,South-East Asia,Democratic People's Republic of Korea,All types,3.61,3.61,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2012,PRK,South-East Asia,Democratic People's Republic of Korea,Beer,0.09,0.09,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2012,PRK,South-East Asia,Democratic People's Republic of Korea,Other alcoholic beverages,0,0,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2012,PRK,South-East Asia,Democratic People's Republic of Korea,Spirits,3.52,3.52,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2012,PRK,South-East Asia,Democratic People's Republic of Korea,Wine,0,0,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2013,PRK,South-East Asia,Democratic People's Republic of Korea,All types,3.35,3.35,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2013,PRK,South-East Asia,Democratic People's Republic of Korea,Beer,0.09,0.09,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2013,PRK,South-East Asia,Democratic People's Republic of Korea,Other alcoholic beverages,0,0,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2013,PRK,South-East Asia,Democratic People's Republic of Korea,Spirits,3.26,3.26,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2013,PRK,South-East Asia,Democratic People's Republic of Korea,Wine,0,0,PRK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2000,COD,Africa,Democratic Republic of the Congo,All types,1.98,1.98,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2000,COD,Africa,Democratic Republic of the Congo,Beer,0.38,0.38,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2000,COD,Africa,Democratic Republic of the Congo,Other alcoholic beverages,1.59,1.59,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2000,COD,Africa,Democratic Republic of the Congo,Spirits,0.01,0.01,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2000,COD,Africa,Democratic Republic of the Congo,Wine,0,0,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2001,COD,Africa,Democratic Republic of the Congo,All types,1.9,1.9,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2001,COD,Africa,Democratic Republic of the Congo,Beer,0.27,0.27,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2001,COD,Africa,Democratic Republic of the Congo,Other alcoholic beverages,1.61,1.61,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2001,COD,Africa,Democratic Republic of the Congo,Spirits,0.02,0.02,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2001,COD,Africa,Democratic Republic of the Congo,Wine,0,0,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2002,COD,Africa,Democratic Republic of the Congo,All types,1.85,1.85,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2002,COD,Africa,Democratic Republic of the Congo,Beer,0.27,0.27,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2002,COD,Africa,Democratic Republic of the Congo,Other alcoholic beverages,1.57,1.57,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2002,COD,Africa,Democratic Republic of the Congo,Spirits,0.01,0.01,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2002,COD,Africa,Democratic Republic of the Congo,Wine,0,0,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2003,COD,Africa,Democratic Republic of the Congo,All types,1.83,1.83,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2003,COD,Africa,Democratic Republic of the Congo,Beer,0.27,0.27,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2003,COD,Africa,Democratic Republic of the Congo,Other alcoholic beverages,1.54,1.54,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2003,COD,Africa,Democratic Republic of the Congo,Spirits,0.01,0.01,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2003,COD,Africa,Democratic Republic of the Congo,Wine,0,0,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2004,COD,Africa,Democratic Republic of the Congo,All types,1.44,1.44,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2004,COD,Africa,Democratic Republic of the Congo,Beer,0.32,0.32,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2004,COD,Africa,Democratic Republic of the Congo,Other alcoholic beverages,1.09,1.09,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2004,COD,Africa,Democratic Republic of the Congo,Spirits,0.03,0.03,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2004,COD,Africa,Democratic Republic of the Congo,Wine,0.01,0.01,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2005,COD,Africa,Democratic Republic of the Congo,All types,1.43,1.43,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2005,COD,Africa,Democratic Republic of the Congo,Beer,0.34,0.34,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2005,COD,Africa,Democratic Republic of the Congo,Other alcoholic beverages,1.05,1.05,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2005,COD,Africa,Democratic Republic of the Congo,Spirits,0.03,0.03,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2005,COD,Africa,Democratic Republic of the Congo,Wine,0.01,0.01,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2006,COD,Africa,Democratic Republic of the Congo,All types,1.53,1.53,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2006,COD,Africa,Democratic Republic of the Congo,Beer,0.42,0.42,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2006,COD,Africa,Democratic Republic of the Congo,Other alcoholic beverages,1.06,1.06,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2006,COD,Africa,Democratic Republic of the Congo,Spirits,0.04,0.04,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2006,COD,Africa,Democratic Republic of the Congo,Wine,0.01,0.01,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2007,COD,Africa,Democratic Republic of the Congo,All types,1.52,1.52,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2007,COD,Africa,Democratic Republic of the Congo,Beer,0.49,0.49,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2007,COD,Africa,Democratic Republic of the Congo,Other alcoholic beverages,0.99,0.99,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2007,COD,Africa,Democratic Republic of the Congo,Spirits,0.03,0.03,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2007,COD,Africa,Democratic Republic of the Congo,Wine,0.02,0.02,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2008,COD,Africa,Democratic Republic of the Congo,All types,2.09,2.09,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2008,COD,Africa,Democratic Republic of the Congo,Beer,0.55,0.55,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2008,COD,Africa,Democratic Republic of the Congo,Other alcoholic beverages,1.23,1.23,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2008,COD,Africa,Democratic Republic of the Congo,Spirits,0.08,0.08,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2008,COD,Africa,Democratic Republic of the Congo,Wine,0.23,0.23,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2009,COD,Africa,Democratic Republic of the Congo,All types,2.13,2.13,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2009,COD,Africa,Democratic Republic of the Congo,Beer,0.56,0.56,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2009,COD,Africa,Democratic Republic of the Congo,Other alcoholic beverages,1.37,1.37,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2009,COD,Africa,Democratic Republic of the Congo,Spirits,0.02,0.02,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2009,COD,Africa,Democratic Republic of the Congo,Wine,0.17,0.17,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2010,COD,Africa,Democratic Republic of the Congo,All types,1.81,1.81,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2010,COD,Africa,Democratic Republic of the Congo,Beer,0.62,0.62,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2010,COD,Africa,Democratic Republic of the Congo,Other alcoholic beverages,0.93,0.93,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2010,COD,Africa,Democratic Republic of the Congo,Spirits,0.04,0.04,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2010,COD,Africa,Democratic Republic of the Congo,Wine,0.22,0.22,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2011,COD,Africa,Democratic Republic of the Congo,All types,1.82,1.82,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2011,COD,Africa,Democratic Republic of the Congo,Beer,0.69,0.69,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2011,COD,Africa,Democratic Republic of the Congo,Other alcoholic beverages,0.9,0.9,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2011,COD,Africa,Democratic Republic of the Congo,Spirits,0.01,0.01,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2011,COD,Africa,Democratic Republic of the Congo,Wine,0.22,0.22,COD,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2000,DNK,Europe,Denmark,All types,11.69,11.69,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2000,DNK,Europe,Denmark,Beer,5.76,5.76,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2000,DNK,Europe,Denmark,Other alcoholic beverages,0,0,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2000,DNK,Europe,Denmark,Spirits,1.41,1.41,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2000,DNK,Europe,Denmark,Wine,4.53,4.53,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2001,DNK,Europe,Denmark,All types,11.56,11.56,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2001,DNK,Europe,Denmark,Beer,5.57,5.57,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2001,DNK,Europe,Denmark,Other alcoholic beverages,0,0,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2001,DNK,Europe,Denmark,Spirits,1.39,1.39,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2001,DNK,Europe,Denmark,Wine,4.6,4.6,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2002,DNK,Europe,Denmark,All types,11.34,11.34,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2002,DNK,Europe,Denmark,Beer,5.48,5.48,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2002,DNK,Europe,Denmark,Other alcoholic beverages,0,0,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2002,DNK,Europe,Denmark,Spirits,1.42,1.42,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2002,DNK,Europe,Denmark,Wine,4.43,4.43,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2003,DNK,Europe,Denmark,All types,11.54,11.54,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2003,DNK,Europe,Denmark,Beer,5.47,5.47,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2003,DNK,Europe,Denmark,Other alcoholic beverages,0,0,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2003,DNK,Europe,Denmark,Spirits,1.6,1.6,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2003,DNK,Europe,Denmark,Wine,4.47,4.47,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2004,DNK,Europe,Denmark,All types,11.27,11.27,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2004,DNK,Europe,Denmark,Beer,5.1,5.1,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2004,DNK,Europe,Denmark,Other alcoholic beverages,0,0,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2004,DNK,Europe,Denmark,Spirits,1.85,1.85,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2004,DNK,Europe,Denmark,Wine,4.32,4.32,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2005,DNK,Europe,Denmark,All types,11.28,11.28,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2005,DNK,Europe,Denmark,Beer,5.06,5.06,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2005,DNK,Europe,Denmark,Other alcoholic beverages,0,0,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2005,DNK,Europe,Denmark,Spirits,1.78,1.78,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2005,DNK,Europe,Denmark,Wine,4.44,4.44,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2006,DNK,Europe,Denmark,All types,11.02,11.02,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2006,DNK,Europe,Denmark,Beer,4.92,4.92,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2006,DNK,Europe,Denmark,Other alcoholic beverages,0.07,0.07,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2006,DNK,Europe,Denmark,Spirits,1.69,1.69,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2006,DNK,Europe,Denmark,Wine,4.34,4.34,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2007,DNK,Europe,Denmark,All types,10.99,10.99,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2007,DNK,Europe,Denmark,Beer,4.77,4.77,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2007,DNK,Europe,Denmark,Other alcoholic beverages,0.07,0.07,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2007,DNK,Europe,Denmark,Spirits,1.74,1.74,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2007,DNK,Europe,Denmark,Wine,4.41,4.41,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2008,DNK,Europe,Denmark,All types,10.7,10.7,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2008,DNK,Europe,Denmark,Beer,4.51,4.51,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2008,DNK,Europe,Denmark,Other alcoholic beverages,0.06,0.06,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2008,DNK,Europe,Denmark,Spirits,1.66,1.66,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2008,DNK,Europe,Denmark,Wine,4.47,4.47,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2009,DNK,Europe,Denmark,All types,10.08,10.08,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2009,DNK,Europe,Denmark,Beer,4.13,4.13,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2009,DNK,Europe,Denmark,Other alcoholic beverages,0.05,0.05,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2009,DNK,Europe,Denmark,Spirits,1.52,1.52,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2009,DNK,Europe,Denmark,Wine,4.38,4.38,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2010,DNK,Europe,Denmark,All types,10.28,10.28,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2010,DNK,Europe,Denmark,Beer,3.86,3.86,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2010,DNK,Europe,Denmark,Other alcoholic beverages,0.05,0.05,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2010,DNK,Europe,Denmark,Spirits,1.44,1.44,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2010,DNK,Europe,Denmark,Wine,4.92,4.92,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2011,DNK,Europe,Denmark,All types,10.47,10.47,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2011,DNK,Europe,Denmark,Beer,3.81,3.81,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2011,DNK,Europe,Denmark,Other alcoholic beverages,0.1,0.1,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2011,DNK,Europe,Denmark,Spirits,1.51,1.51,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2011,DNK,Europe,Denmark,Wine,5.05,5.05,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2012,DNK,Europe,Denmark,All types,9.26,9.26,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2012,DNK,Europe,Denmark,Beer,3.56,3.56,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2012,DNK,Europe,Denmark,Other alcoholic beverages,0.08,0.08,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2012,DNK,Europe,Denmark,Spirits,1.52,1.52,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2012,DNK,Europe,Denmark,Wine,4.11,4.11,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2013,DNK,Europe,Denmark,All types,9.5,9.5,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2013,DNK,Europe,Denmark,Beer,3.51,3.51,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2013,DNK,Europe,Denmark,Other alcoholic beverages,0.07,0.07,DNK,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2013,DNK,Europe,Denmark,Spirits,1.58,1.58,DNK,
